id,icao,lat,long,elev
642,KINJ,32.08,-97.1,208
643,KINF,28.8,-82.32,14
644,KIMS,38.75,-85.47,244
645,KIMM,26.43,-81.4,11
646,KIKW,43.67,-84.27,190
647,KIKV,41.68,-93.57,270
648,KIKK,41.07,-87.85,188
649,KIKG,27.55,-98.03,37
650,KIJX,39.77,-90.25,187
651,KIIY,33.78,-82.82,192
652,KIIB,42.45,-91.95,294
653,KIGQ,41.53,-87.53,187
654,KIFA,42.47,-93.27,344
655,KIER,31.73,-93.1,35
656,KIDP,37.17,-95.78,252
657,KIDI,40.63,-79.1,425
658,KIBM,41.18,-103.68,1494
659,KI75,41.05,-93.68,336
660,KI74,40.12,-83.75,322
661,KI69,39.08,-84.22,238
662,KI68,39.47,-84.25,274
663,KI67,39.25,-84.78,177
664,KI63,39.98,-90.8,221
665,KI23,39.57,-83.42,298
666,KI19,39.7,-83.98,285
667,KHZX,46.62,-93.32,374
668,KHZL,40.98,-76,481
669,KHZE,47.28,-101.58,542
670,KHZD,36.08,-88.47,147
671,KHYX,43.43,-83.87,181
672,KHYW,33.83,-79.12,10
673,KHWY,38.58,-77.72,93
674,KHVS,34.4,-80.12,110
675,KHVE,38.42,-110.7,1351
676,KHTH,38.55,-118.63,1281
677,KHSG,43.72,-108.38,1497
678,KHSD,35.6,-97.72,358
679,KHSB,37.82,-88.55,118
680,KHRX,34.87,-102.33,1153
681,KHQU,33.53,-82.52,141
682,KHQG,37.17,-101.37,956
683,KHQG,37.17,-101.37,956
684,KHPT,42.72,-93.23,354
685,KHOE,31.05,-82.78,56
686,KHNZ,36.37,-78.53,158
687,KHNR,41.58,-95.33,364
688,KHMZ,40.08,-78.52,351
689,KHMT,33.73,-117.02,462
690,KHMP,33.38,-84.33,263
691,KHLX,36.77,-80.82,819
692,KHLR,31.13,-97.72,271
693,KHLB,39.35,-85.27,297
694,KHJH,40.15,-97.58,449
695,KHII,34.57,-114.37,241
696,KHHG,40.85,-85.45,247
697,KHHF,35.9,-100.4,729
698,KHFY,39.63,-86.08,250
699,KHFJ,36.9,-94.02,398
700,KHEQ,40.57,-102.28,1136
701,KHEG,30.28,-81.8,25
702,KHDL,31.37,-85.32,109
703,KHDE,40.45,-99.33,703
704,KHDC,30.52,-90.42,12
